2026-09-24 03:44:48 | INFO | ✓ 70/9000 | Queue: 149 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:44:50 | INFO | ✓ 71/9000 | Queue: 148 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:44:53 | INFO | ✓ 72/9000 | Queue: 144 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:44:56 | INFO | ✓ 73/9000 | Queue: 143 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:44:58 | INFO | ✓ 74/9000 | Queue: 142 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:00 | INFO | ✓ 75/9000 | Queue: 147 | ✅ https://www.mamypoko.com.tw/tkpants/2020.html...
2026-09-24 03:45:01 | INFO | ✓ 76/9000 | Queue: 141 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:03 | INFO | ✓ 77/9000 | Queue: 140 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:05 | INFO | ✓ 78/9000 | Queue: 139 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:07 | INFO | ✓ 79/9000 | Queue: 138 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:09 | INFO | ✓ 80/9000 | Queue: 137 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:11 | INFO | ✓ 81/9000 | Queue: 136 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:12 | INFO | ✓ 82/9000 | Queue: 136 | ✅ https://www.mamypoko.com.tw/hospital_point.php...
2026-09-24 03:45:14 | INFO | ✓ 83/9000 | Queue: 136 | ✅ https://www.mamypoko.com.tw/hospital_history.php...
2026-09-24 03:45:15 | INFO | ✓ 84/9000 | Queue: 136 | ✅ https://www.mamypoko.com.tw/hospital_voice.php...
2026-09-24 03:45:16 | INFO | ✓ 85/9000 | Queue: 137 | ✅ https://www.mamypoko.com.tw/hospital_hospital.php...
2026-09-24 03:45:17 | INFO | ✓ 86/9000 | Queue: 137 | ✅ https://www.mamypoko.com.tw/hospital_recommend.php...
2026-09-24 03:45:19 | INFO | ✓ 87/9000 | Queue: 137 | ✅ https://www.mamypoko.com.tw/hospital_news.php...
2026-09-24 03:45:20 | INFO | ✓ 88/9000 | Queue: 138 | ✅ https://www.mamypoko.com.tw/hospital_product_a.php...
2026-09-24 03:45:22 | INFO | ✓ 89/9000 | Queue: 137 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:24 | INFO | ✓ 90/9000 | Queue: 136 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:26 | INFO | ✓ 91/9000 | Queue: 135 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:29 | INFO | ✓ 92/9000 | Queue: 134 | ❌ https://www.mamypoko.com.tw/images/introduce/0709_...
2026-09-24 03:45:32 | INFO | ✓ 93/9000 | Queue: 133 | ❌ https://www.mamypoko.com.tw/images/introduce/0709_...
2026-09-24 03:45:34 | INFO | ✓ 94/9000 | Queue: 132 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:36 | INFO | ✓ 95/9000 | Queue: 131 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:38 | INFO | ✓ 96/9000 | Queue: 130 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:40 | INFO | ✓ 97/9000 | Queue: 132 | ✅ https://www.mamypoko.com.tw/product_02_03.php...
2026-09-24 03:45:42 | INFO | ✓ 98/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_01_18.php...
2026-09-24 03:45:43 | INFO | ✓ 99/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_01_19.php...
2026-09-24 03:45:45 | INFO | ✓ 100/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:45:45 | INFO | Checkpoint saved: 100 visited, 133 queued
2026-09-24 03:45:46 | INFO | ✓ 101/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_01_a.p...
